,Company,Sub-Sector,MarketCap,CMP,PE,Ret_1M,Ret_6M,Ret_1Y,PB,ROE,ROCE
178,Nippon Life India Asset Management Ltd,Asset Management,55803.76,858.3,43.38,-5.46,18.48,23.65,13.25,31.39,38.32
179,Indian Railway Catering and Tourism Corporation Ltd,Online Services,54792.00,677.5,41.67,-4.3,-14.55,-16.57,14.96,38.15,44.39
180,Steel Authority of India Ltd,Iron & Steel,54555.98,132.25,23,1.21,3.49,15.92,0.93,4.09,6.7
181,Bharat Dynamics Ltd,Aerospace & Defense Equipments,54141.28,"1,462.40",98.5,-3.67,-23.41,47.1,13.51,14.38,10.2
182,Tata Communications Ltd,Telecom Services,53602.80,"1,825.90",29.19,-0.58,8,2.34,17.72,76.28,21.59
183,Laurus Labs Ltd,Pharmaceuticals,52878.55,977.55,147.57,5.32,64.28,83.73,11.49,8.22,12.08
184,Biocon Ltd,Biotechnology,52768.88,393.25,52.08,9.7,18.32,16.92,1.9,3.82,6.3
185,Mphasis Ltd,IT Services & Consulting,52655.45,"2,797.20",30.94,-2.74,9.87,-6.21,5.47,18.48,23.56
186,Sundaram Finance Ltd,Consumer Finance,52167.19,"4,764.10",27.76,1.97,-10.97,11.05,3.95,15.48,3.72
187,Glenmark Pharmaceuticals Ltd,Pharmaceuticals,51992.68,"1,881.50",49.66,1.5,35.35,26.24,5.88,12.54,16.02
188,PI Industries Ltd,Diversified Chemicals,51959.87,"3,448.50",31.3,-4.89,-6.38,-16.4,5.12,17.58,20.89
189,Multi Commodity Exchange of India Ltd,Stock Exchanges & Ratings,50312.44,"9,867.00",89.84,9.55,52.81,61.33,26.7,34.33,24.11
190,Linde India Ltd,Commodity Chemicals,50270.79,"5,890.00",110.52,-3.73,-22.1,-10.5,13.16,12.48,15.21
191,Kalyan Jewellers India Ltd,"Precious Metals, Jewellery & Watches",50016.85,482.8,69.97,-2.38,-15.05,-30.97,10.41,15.9,21.88
192,Mahindra and Mahindra Financial Services Ltd,Consumer Finance,49677.72,360.35,21.96,20.63,40.49,35.83,2.3,10.89,2.19
193,APL Apollo Tubes Ltd,Building Products - Pipes,47647.89,"1,698.40",62.94,-2.2,-7.61,16.54,11.32,19.38,22.02
194,Authum Investment & Infrastructure Ltd,Specialized Finance,46486.60,"2,624.80",10.96,-9.67,19.02,68.6,3.16,33.88,25.56
195,National Aluminium Co Ltd,Metals - Aluminium,46110.48,253.97,8.75,5.53,38.37,1.03,2.59,32.73,36.82
196,L&T Technology Services Ltd,Software Services,45810.73,"4,262.80",36.17,3.65,-5.49,-21.9,7.51,22.13,27.08
197,360 One Wam Ltd,Investment Banking & Brokerage,45763.42,"1,120.00",45.07,-4.67,10.15,2.5,6.48,19.31,8.94
198,Housing and Urban Development Corporation Ltd,Specialized Finance,45681.36,230.76,16.86,0.04,-3.15,6.32,2.54,15.67,2.98
199,Godfrey Phillips India Ltd,FMCG - Tobacco,45356.38,"2,873.70",42.31,-7.43,4.16,49.7,8.63,22.58,25.28
200,United Breweries Ltd,Alcoholic Beverages,45078.43,"1,699.20",102.06,-6.46,-16.96,-10.43,10.32,10.33,13.92
201,Voltas Ltd,Home Electronics & Appliances,44821.65,"1,356.30",53.27,-5.14,8.18,-17.51,6.85,13.58,17.64
202,Bank of Maharashtra Ltd,Public Banks,44780.23,59.61,8.08,-1.05,16.72,9.82,1.56,22.82,8.89
203,Hexaware Technologies Ltd,IT Services & Consulting,44547.90,726.45,37.87,0.71,-9.11,-4.73,8.32,23.55,26.64
204,Premier Energies Ltd,Renewable Energy,44430.70,967.4,47.41,-8.7,-7.31,-11.73,15.74,53.83,34.94
205,Cochin Shipyard Ltd,Shipbuilding,43866.09,"1,682.50",53.02,-8.83,-10.72,23.33,7.86,15.64,19.3
206,Balkrishna Industries Ltd,Tires & Rubber,43786.34,"2,304.80",26.46,-2.37,-7.51,-16.06,4.22,17.2,20.3
207,Supreme Industries Ltd,Plastic Products,43601.97,"3,427.30",45.38,-13.99,-15.09,-25.64,7.7,17.84,21.37
208,Radico Khaitan Ltd,Alcoholic Beverages,43591.87,"3,284.50",126.13,0.53,34.61,40.26,15.83,13.31,17.43
209,ITC Hotels Ltd,"Hotels, Resorts & Cruise Lines",43483.68,207.48,68.52,-7.13,-3.48,20.73,4.05,6.59,8.21
210,Page Industries Ltd,Apparel & Accessories,43343.95,"38,535.00",59.45,-5.43,-18.41,-15.29,30.8,48.54,62.78
211,J K Cement Ltd,Cement,42907.06,"5,585.00",49.83,-11.36,7.14,32.49,7.09,15.14,13.32
212,GlaxoSmithKline Pharmaceuticals Ltd,Pharmaceuticals,41961.87,"2,486.10",45.24,-10.19,-16.02,6.17,21.5,49.75,57.25
213,Procter & Gamble Hygiene and Health Care Ltd,FMCG - Personal Products,41666.60,"12,824.00",65.45,-5.28,-9.94,-19.4,56.54,84.21,102.67
214,Petronet LNG Ltd,Oil & Gas - Storage & Transportation,40710.00,272.15,10.25,-3.61,-14.5,-18.48,2.05,21.31,23.63
215,Escorts Kubota Ltd,Tractors,40381.37,"3,637.60",31.92,-0.4,3.83,0.61,3.9,12.81,14.2
216,Narayana Hrudayalaya Ltd,Hospitals & Diagnostic Centres,40128.47,"1,957.30",50.79,13.89,10.15,55.87,11.06,24.26,18.14
217,Indian Renewable Energy Development Agency Ltd,Specialized Finance,40028.74,141.36,23.57,-7.22,-18.55,-25.59,3.9,18.04,2.81
218,3M India Ltd,Stationery,39822.02,"35,290.00",83.65,18.62,17.2,10.66,21.57,23.84,39.79
219,Astral Ltd,Building Products - Pipes,39577.54,"1,465.50",75.56,3.22,-2.86,-17.79,10.72,15.05,19.05
220,KEI Industries Ltd,Cables,39270.81,"4,071.50",56.39,-0.66,16.45,1.26,6.79,15.59,16.86
221,Container Corporation of India Ltd,Logistics,39219.52,512.5,30.43,-4.35,-13.71,-20.63,3.13,10.54,13.5
222,Kaynes Technology India Ltd,Electrical Components & Equipments,39054.39,"5,777.50",133.1,-12.92,-3.31,-2.01,13.73,11,16.13
223,Jubilant Foodworks Ltd,Restaurants & Cafes,38729.87,593.05,183.76,-0.58,-10.35,-6.27,17.74,9.52,12.95
224,UCO Bank,Public Banks,38483.91,30.64,15.59,-3.16,-1.29,-30.88,1.25,8.5,5.57
225,Dalmia Bharat Ltd,Cement,37940.68,"2,019.90",55.55,-3.32,-1.76,10.57,2.17,4.02,4.87
226,KPR Mill Ltd,Textiles,37869.57,"1,079.00",46.46,6.28,-6.33,14.73,7.57,17.42,21.45
